name,state,region,lat,lon,campuses,id_long,id,locale,ug_enrollment,main_campus,hbcu,women_only,religious_affiliation,admission_rate,class,social_sciences,humanities,physical_sciences,ethnic_gender_studies,comp_sci,avg_faculty_salary,completion_rate,pell_grant,first_gen_completion_4
Rhodes College,TN,Southeast,35.154405,-89.990803,1,351900,3519,Large City / Suburb,NULL,1,0,0,1,0.4455,21,0.2154,0,0.0747,0.011,0.0462,8491,0.8535,0.1424,0.735042735
University of the Southwest,NM,Southwest,32.775496,-103.186948,1,265000,2650,Rural,NULL,1,0,0,NA,0.4478,19,0,0,0,0,0,5487,0.1837,0.556,0.185714286
Brigham Young University-Hawaii,HI,Far West,21.642074,-157.926586,1,160600,1606,Town,NULL,1,0,0,1,0.4478,22,0.0426,0.2274,0,0.009,0.0465,9388,0.6335,0.1954,0.461538462
Southwestern University,TX,Southwest,30.634341,-97.665738,1,362000,3620,Large City / Suburb,NULL,1,0,0,1,0.4502,21,0.1135,0,0.0491,0.0123,0.0123,8274,0.7444,0.2729,0.658064516
Assabet Valley Regional Technical School,MA,New England,42.36775,-71.567281,1,2169900,21699,Large City / Suburb,NULL,1,0,0,NA,0.4516,-2,0,0,0,0,0,NA,NULL,0.3673,NA
San Francisco Conservatory of Music,CA,Far West,37.775543,-122.420292,1,127800,1278,Large City / Suburb,NULL,1,0,0,NA,0.4521,30,0,0,0,0,0,12947,0.5789,0.2976,NA
Appalachian Bible College,WV,Southeast,37.853335,-81.198867,1,754400,7544,Rural,NULL,1,0,0,1,0.4524,24,0,0,0,0,0,2884,0.4857,0.3613,0.42
Inter American University of Puerto Rico-San German,PR,US Outlying Areas,18.08353,-67.05082,1,4254200,42542,Small City / Suburb,NULL,1,0,0,NA,0.4525,17,0.0251,0,0.0147,0,0.0531,5950,0.451,0.8326,0.257405516
Gettysburg College,PA,New England,39.836597,-77.236792,1,326800,3268,Small City / Suburb,NULL,1,0,0,NA,0.4541,21,0.2666,0,0.0364,0.0298,0,9641,0.8153,0.151,0.884393064
Chamberlain University-Missouri,MO,Midwest,38.701907,-90.436283,15,638507,6385,Large City / Suburb,NULL,0,0,0,NA,0.4545,26,0,0,0,0,0,6522,0.2857,0.4689,0.44371808
